DayOfWeek,IntervalPeriod,Weekend,BusinessHours,TotalDemand,RRP
7,9,yes,no,6122.85,18.72
7,10,yes,no,6175.7,18.96
7,11,yes,no,6391.17,18.96
7,12,yes,no,6530.96,18.96
7,13,yes,no,6791.1,21.96
7,14,yes,no,7100.48,25.28
7,15,yes,no,7484.18,27.96
7,16,yes,yes,7745.07,27.97
7,17,yes,yes,8028.87,28.62
7,18,yes,yes,8101.88,30.66
7,19,yes,yes,8196.04,32.62
7,20,yes,yes,8178.11,28.84
7,21,yes,yes,8268.03,30.35
7,22,yes,yes,8270.29,31.44
7,23,yes,yes,8167.24,29.01
7,24,yes,yes,8110.94,28.56
7,25,yes,yes,8107.1,28.56
7,26,yes,yes,8129.39,28.08
7,27,yes,yes,8167.43,32.91
7,28,yes,yes,8263,32.26
7,29,yes,yes,8345.98,32.14
7,30,yes,yes,8420.87,32.57
7,31,yes,yes,8456.48,30.43
7,32,yes,yes,8481.55,34.18
7,33,yes,yes,8427.7,32.1
7,34,yes,yes,8405.61,32.12
7,35,yes,yes,8350.08,29.99
7,36,yes,yes,8249.76,29.29
7,37,yes,no,8110.73,28.07
7,38,yes,no,8120.79,32.42
7,39,yes,no,8094.46,30.4
7,40,yes,no,8000.28,29.11
7,41,yes,no,7897.09,28.06
7,42,yes,no,7736.03,28
7,43,yes,no,7707.34,28.03
7,44,yes,no,7576.97,28.03
7,45,yes,no,7492.79,28.24
7,46,yes,no,7296.5,27.57
7,47,yes,no,7003.86,24.37
1,0,yes,no,6864.23,24.03
1,1,yes,no,6702.51,24.51
1,2,yes,no,6513.32,22.51
1,3,yes,no,6299.89,20.21
1,4,yes,no,6105.68,19.2
1,5,yes,no,5952.54,18.49
1,6,yes,no,5892.63,19.16
1,7,yes,no,5797.41,16.07
1,8,yes,no,5813.99,16.65
1,9,yes,no,5893.08,18.96
1,10,yes,no,5943.67,18.36
1,11,yes,no,6065.62,18.96
1,12,yes,no,6155.48,18.96
1,13,yes,no,6347.43,18.96
1,14,yes,no,6597.85,19.82
1,15,yes,no,6902.89,24.36
1,16,yes,yes,7118.82,25.38
1,17,yes,yes,7319.03,26.27
1,18,yes,yes,7511.29,27.56
1,19,yes,yes,7635.39,28.01
1,20,yes,yes,7678.36,28.18
1,21,yes,yes,7742.69,28.93
1,22,yes,yes,7837.36,29.63
1,23,yes,yes,7978,33.32
1,24,yes,yes,8099.08,32.72
1,25,yes,yes,8143.84,33
1,26,yes,yes,8284.31,35.24
1,27,yes,yes,8379.4,34.97
1,28,yes,yes,8564.47,37.38
1,29,yes,yes,8564.43,32.42
1,30,yes,yes,8557.67,33.21
1,31,yes,yes,8559.46,34.71
1,32,yes,yes,8632.42,41.14
1,33,yes,yes,8654.44,126.33
1,34,yes,yes,8798.97,83.74
1,35,yes,yes,8824.72,170.73
1,36,yes,yes,8745.7,64.83
1,37,yes,no,8593.82,85.38
1,38,yes,no,8475.68,37.56
1,39,yes,no,8576.18,42.81
1,40,yes,no,8566.36,42.75
1,41,yes,no,8347.53,39.06
1,42,yes,no,8044,34.04
1,43,yes,no,7831.16,33.33
1,44,yes,no,7610.07,31.28
1,45,yes,no,7469.41,35
1,46,yes,no,7231.24,34.06
1,47,yes,no,7033.58,33.55
2,0,no,no,6877.61,30.02
2,1,no,no,6724.97,31.16
2,2,no,no,6564.49,29.72
2,3,no,no,6359.56,29.02
2,4,no,no,6158.72,28.47
2,5,no,no,6177.08,28.91
2,6,no,no,6033.75,27.99
2,7,no,no,6061.41,28.06
2,8,no,no,6196.29,29.02
2,9,no,no,6386.21,29.42
2,10,no,no,6669.36,32.96
2,11,no,no,7200.44,41.95
2,12,no,no,7682.01,38.76
2,13,no,no,8132.9,42.32
2,14,no,no,8521.63,45.28
2,15,no,no,8742.36,43.03
2,16,no,yes,8947.04,42.69
2,17,no,yes,9168.12,41.35
2,18,no,yes,9212.12,41.18
2,19,no,yes,9366.38,36.69
2,20,no,yes,9422,35.38
2,21,no,yes,9469.73,35.59
2,22,no,yes,9579.52,35.78
2,23,no,yes,9552.87,35.02
2,24,no,yes,9674.82,37.22
2,25,no,yes,9763.32,42.01
2,26,no,yes,9886.43,41.71
2,27,no,yes,9945.09,41.95
2,28,no,yes,9985.84,43.63
2,29,no,yes,10074.28,40.49
2,30,no,yes,10274.06,41.96
